id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
13666656,"Cosy, warm & comfortable 1 bed flat. FREE parking",21501952,Stuart,,Meadowbank and Abbeyhill North,55.95717,-3.16245,Entire home/apt,80,2,186,2019-02-11,5.88,1,181
13667133,The Buchan Apartment,13135752,Pier,,Easter Road and Hawkhill Avenue,55.96437,-3.17391,Entire home/apt,62,2,123,2018-12-27,3.89,7,176
13670126,Fresh spacious attic double room,79507562,Carole,,Colinton Mains and Firrhill,55.91364,-3.23837,Private room,30,2,19,2018-10-11,0.64,1,164
13670550,Private room in a centrally located Edinburgh Flat,8707561,Andy,,Broughton North and Powderhall,55.9648,-3.19456,Private room,50,2,1,2017-05-29,0.05,1,0
13671620,City centre large and bright room.,73201682,Trish,,Tollcross,55.94259,-3.20345,Private room,40,2,37,2018-08-29,1.17,1,304
13672310,Quiet corner in central Edinburgh.,24065234,Fin,,Canonmills and New Town North,55.95949,-3.19897,Entire home/apt,85,2,22,2017-02-05,0.69,1,0
13673173,Stunning bright spacious central Edinburgh flat.,27169878,Elspeth,,Meadows and Southside,55.93972,-3.18036,Entire home/apt,125,3,11,2017-09-04,0.35,1,0
13674007,Bright cheery Edinburgh flat,1833993,Rebecca,,Tollcross,55.94319,-3.2,Entire home/apt,150,4,6,2016-08-29,0.20,2,0
13677543,Edinburgh room in perfect location,79608317,Anne Marie,,Liberton West and Braid Hills,55.91047,-3.16298,Private room,30,2,28,2018-08-20,0.92,4,325
13681614,Meadow park High-End Flat,37392110,Yan,,Marchmont West,55.93885,-3.19682,Entire home/apt,125,3,2,2016-07-18,0.06,1,0
13685453,Spacious flat with stunning views near Royal Mile,1764377,Ryan,,Abbeyhill,55.95495,-3.16761,Entire home/apt,65,2,93,2018-12-30,2.98,1,2
13685846,Central modern flat perfect to explore the city,79708896,Kelly,,Hillside and Calton Hill,55.95535,-3.17552,Entire home/apt,80,3,32,2018-09-23,1.05,1,70
13685904,Cozy living room in the city centre,46498879,Frank,,Meadows and Southside,55.94279,-3.1839,Private room,35,1,189,2019-01-23,5.89,1,12
