DZ,DZname,LAname
S01008532,Oxgangs - 04,City of Edinburgh
S01008533,Comiston and Swanston - 01,City of Edinburgh
S01008534,Comiston and Swanston - 02,City of Edinburgh
S01008535,Comiston and Swanston - 03,City of Edinburgh
S01008536,Comiston and Swanston - 04,City of Edinburgh
S01008537,Comiston and Swanston - 05,City of Edinburgh
S01008538,Comiston and Swanston - 06,City of Edinburgh
S01008539,Comiston and Swanston - 07,City of Edinburgh
S01008540,Comiston and Swanston - 08,City of Edinburgh
S01008541,Fairmilehead - 01,City of Edinburgh
S01008542,Fairmilehead - 02,City of Edinburgh
S01008543,Fairmilehead - 03,City of Edinburgh
S01008544,Fairmilehead - 04,City of Edinburgh
S01008545,Fairmilehead - 05,City of Edinburgh
S01008546,Fairmilehead - 06,City of Edinburgh
S01008547,Gilmerton South and the Murrays - 01,City of Edinburgh
S01008548,Gilmerton South and the Murrays - 02,City of Edinburgh
S01008549,Gilmerton South and the Murrays - 03,City of Edinburgh
S01008550,Mortonhall and Anwickhill - 01,City of Edinburgh
S01008551,Mortonhall and Anwickhill - 02,City of Edinburgh
S01008552,Mortonhall and Anwickhill - 03,City of Edinburgh
S01008553,"Gracemount, Southhouse and Burdiehouse - 01",City of Edinburgh
S01008554,"Gracemount, Southhouse and Burdiehouse - 02",City of Edinburgh
S01008555,"Gracemount, Southhouse and Burdiehouse - 03",City of Edinburgh
S01008556,"Gracemount, Southhouse and Burdiehouse - 04",City of Edinburgh
S01008557,"Gracemount, Southhouse and Burdiehouse - 05",City of Edinburgh
S01008558,"Gracemount, Southhouse and Burdiehouse - 06",City of Edinburgh
S01008559,Hyvots and Gilmerton - 01,City of Edinburgh
S01008560,Hyvots and Gilmerton - 02,City of Edinburgh
S01008561,Hyvots and Gilmerton - 03,City of Edinburgh
S01008562,Hyvots and Gilmerton - 04,City of Edinburgh
S01008563,Hyvots and Gilmerton - 05,City of Edinburgh
S01008564,Fernieside and Moredun South - 01,City of Edinburgh
S01008565,Fernieside and Moredun South - 02,City of Edinburgh
S01008566,Fernieside and Moredun South - 03,City of Edinburgh
S01008567,Fernieside and Moredun South - 04,City of Edinburgh
S01008568,Fernieside and Moredun South - 05,City of Edinburgh
S01008569,Moredun and Craigour - 01,City of Edinburgh
S01008570,Moredun and Craigour - 02,City of Edinburgh
S01008571,Moredun and Craigour - 03,City of Edinburgh
S01008572,Moredun and Craigour - 04,City of Edinburgh
S01008573,Liberton East - 01,City of Edinburgh
S01008574,Liberton East - 02,City of Edinburgh
S01008575,Liberton East - 03,City of Edinburgh
S01008576,Liberton East - 04,City of Edinburgh
S01008577,Liberton West and Braid Hills - 01,City of Edinburgh
S01008578,Liberton West and Braid Hills - 02,City of Edinburgh
S01008579,Liberton West and Braid Hills - 03,City of Edinburgh
S01008580,Liberton West and Braid Hills - 04,City of Edinburgh
S01008581,The Inch - 01,City of Edinburgh
S01008582,The Inch - 02,City of Edinburgh
S01008583,The Inch - 03,City of Edinburgh
S01008584,The Inch - 04,City of Edinburgh
S01008585,The Inch - 05,City of Edinburgh
S01008586,The Inch - 06,City of Edinburgh
S01008587,"Blackford, West Mains and Mayfield Road - 01",City of Edinburgh
S01008588,"Blackford, West Mains and Mayfield Road - 02",City of Edinburgh
S01008589,"Blackford, West Mains and Mayfield Road - 03",City of Edinburgh
S01008590,"Blackford, West Mains and Mayfield Road - 04",City of Edinburgh
S01008591,"Blackford, West Mains and Mayfield Road - 05",City of Edinburgh
S01008592,"Blackford, West Mains and Mayfield Road - 06",City of Edinburgh
S01008593,"Blackford, West Mains and Mayfield Road - 07",City of Edinburgh
S01008594,"Blackford, West Mains and Mayfield Road - 08",City of Edinburgh
S01008595,Prestonfield - 01,City of Edinburgh
S01008596,Prestonfield - 02,City of Edinburgh
S01008597,Prestonfield - 03,City of Edinburgh
S01008598,Prestonfield - 04,City of Edinburgh
S01008599,Newington and Dalkeith Road - 01,City of Edinburgh
S01008600,Newington and Dalkeith Road - 02,City of Edinburgh
S01008601,Newington and Dalkeith Road - 03,City of Edinburgh
S01008602,Newington and Dalkeith Road - 04,City of Edinburgh
S01008603,Newington and Dalkeith Road - 05,City of Edinburgh
S01008604,The Grange - 01,City of Edinburgh
S01008605,The Grange - 02,City of Edinburgh
S01008606,The Grange - 03,City of Edinburgh
S01008607,The Grange - 04,City of Edinburgh
S01008608,The Grange - 05,City of Edinburgh
S01008609,The Grange - 06,City of Edinburgh
S01008610,The Grange - 07,City of Edinburgh
S01008611,Marchmont East and Sciennes - 01,City of Edinburgh
S01008612,Marchmont East and Sciennes - 02,City of Edinburgh
S01008613,Marchmont East and Sciennes - 03,City of Edinburgh
S01008614,Marchmont East and Sciennes - 04,City of Edinburgh
S01008615,Marchmont East and Sciennes - 05,City of Edinburgh
S01008616,Marchmont East and Sciennes - 06,City of Edinburgh
S01008617,Marchmont West - 01,City of Edinburgh
S01008618,Marchmont West - 02,City of Edinburgh
S01008619,Marchmont West - 03,City of Edinburgh
S01008620,Marchmont West - 04,City of Edinburgh
S01008621,Marchmont West - 05,City of Edinburgh
S01008622,Marchmont West - 06,City of Edinburgh
S01008623,Marchmont West - 07,City of Edinburgh
S01008624,Morningside - 01,City of Edinburgh
S01008625,Morningside - 02,City of Edinburgh
S01008626,Morningside - 03,City of Edinburgh
S01008627,Morningside - 04,City of Edinburgh
S01008628,Morningside - 05,City of Edinburgh
S01008629,Morningside - 06,City of Edinburgh
S01008630,Morningside - 07,City of Edinburgh
S01008631,Morningside - 08,City of Edinburgh
S01008632,Merchiston and Greenhill - 01,City of Edinburgh
S01008633,Merchiston and Greenhill - 02,City of Edinburgh
