DZ,DZname,LAname
S01008921,Granton and Royston Mains - 02,City of Edinburgh
S01008922,Granton and Royston Mains - 03,City of Edinburgh
S01008923,Granton and Royston Mains - 04,City of Edinburgh
S01008924,Granton West and Salvesen - 01,City of Edinburgh
S01008925,Granton West and Salvesen - 02,City of Edinburgh
S01008926,Granton West and Salvesen - 03,City of Edinburgh
S01008927,Granton West and Salvesen - 04,City of Edinburgh
S01008928,Granton West and Salvesen - 05,City of Edinburgh
S01008929,Muirhouse - 01,City of Edinburgh
S01008930,Muirhouse - 02,City of Edinburgh
S01008931,Muirhouse - 03,City of Edinburgh
S01008932,Muirhouse - 04,City of Edinburgh
S01008933,Muirhouse - 05,City of Edinburgh
S01008934,Muirhouse - 06,City of Edinburgh
S01008935,Siverknowes and Davidson's Mains - 01,City of Edinburgh
S01008936,Siverknowes and Davidson's Mains - 02,City of Edinburgh
S01008937,Siverknowes and Davidson's Mains - 03,City of Edinburgh
S01008938,Siverknowes and Davidson's Mains - 04,City of Edinburgh
S01008939,Siverknowes and Davidson's Mains - 05,City of Edinburgh
S01008940,Siverknowes and Davidson's Mains - 06,City of Edinburgh
S01008941,Cramond - 01,City of Edinburgh
S01008942,Cramond - 02,City of Edinburgh
S01008943,Cramond - 03,City of Edinburgh
S01008944,"Barnton, Cammo and Cramond South - 01",City of Edinburgh
S01008945,"Barnton, Cammo and Cramond South - 02",City of Edinburgh
S01008946,"Barnton, Cammo and Cramond South - 03",City of Edinburgh
S01008947,"Barnton, Cammo and Cramond South - 04",City of Edinburgh
S01008948,Clermiston and Drumbrae - 01,City of Edinburgh
S01008949,Clermiston and Drumbrae - 02,City of Edinburgh
S01008950,Clermiston and Drumbrae - 03,City of Edinburgh
S01008951,Clermiston and Drumbrae - 04,City of Edinburgh
S01008952,Clermiston and Drumbrae - 05,City of Edinburgh
S01008953,Clermiston and Drumbrae - 06,City of Edinburgh
S01008954,Clermiston and Drumbrae - 07,City of Edinburgh
S01008955,East Craigs North - 01,City of Edinburgh
S01008956,East Craigs North - 02,City of Edinburgh
S01008957,East Craigs North - 03,City of Edinburgh
S01008958,East Craigs North - 04,City of Edinburgh
S01008959,East Craigs North - 05,City of Edinburgh
S01008960,East Craigs South - 01,City of Edinburgh
S01008961,East Craigs South - 02,City of Edinburgh
S01008962,East Craigs South - 03,City of Edinburgh
S01008963,East Craigs South - 04,City of Edinburgh
S01008964,East Craigs South - 05,City of Edinburgh
S01008965,East Craigs South - 06,City of Edinburgh
S01008966,East Craigs South - 07,City of Edinburgh
S01008967,Corstorphine North - 01,City of Edinburgh
S01008968,Corstorphine North - 02,City of Edinburgh
S01008969,Corstorphine North - 03,City of Edinburgh
S01008970,Corstorphine - 01,City of Edinburgh
S01008971,Corstorphine - 02,City of Edinburgh
S01008972,Corstorphine - 03,City of Edinburgh
S01008973,Corstorphine - 04,City of Edinburgh
S01008974,Corstorphine - 05,City of Edinburgh
S01008975,Corstorphine - 06,City of Edinburgh
S01008976,Corstorphine - 07,City of Edinburgh
S01008977,Carrick Knowe - 01,City of Edinburgh
S01008978,Carrick Knowe - 02,City of Edinburgh
S01008979,Carrick Knowe - 03,City of Edinburgh
S01008980,Carrick Knowe - 04,City of Edinburgh
S01008981,Corstorphine South - 01,City of Edinburgh
S01008982,Corstorphine South - 02,City of Edinburgh
S01008983,Corstorphine South - 03,City of Edinburgh
S01008984,Corstorphine South - 04,City of Edinburgh
S01008985,Corstorphine South - 05,City of Edinburgh
S01008986,Corstorphine South - 06,City of Edinburgh
S01008987,South Gyle - 01,City of Edinburgh
S01008988,South Gyle - 02,City of Edinburgh
S01008989,South Gyle - 03,City of Edinburgh
S01008990,South Gyle - 04,City of Edinburgh
S01008991,South Gyle - 05,City of Edinburgh
S01008992,South Gyle - 06,City of Edinburgh
S01008993,"Ratho, Ingliston and Gogar - 01",City of Edinburgh
S01008994,"Ratho, Ingliston and Gogar - 02",City of Edinburgh
S01008995,"Ratho, Ingliston and Gogar - 03",City of Edinburgh
S01008996,"Ratho, Ingliston and Gogar - 04",City of Edinburgh
S01008997,"Dalmeny, Kirkliston and Newbridge - 01",City of Edinburgh
S01008998,"Dalmeny, Kirkliston and Newbridge - 02",City of Edinburgh
S01008999,"Dalmeny, Kirkliston and Newbridge - 03",City of Edinburgh
S01009000,"Dalmeny, Kirkliston and Newbridge - 04",City of Edinburgh
S01009001,"Dalmeny, Kirkliston and Newbridge - 05",City of Edinburgh
S01009002,"Dalmeny, Kirkliston and Newbridge - 06",City of Edinburgh
S01009003,Queensferry East - 01,City of Edinburgh
S01009004,Queensferry East - 02,City of Edinburgh
S01009005,Queensferry East - 03,City of Edinburgh
S01009006,Queensferry East - 04,City of Edinburgh
S01009007,Queensferry East - 05,City of Edinburgh
S01009008,Queensferry East - 06,City of Edinburgh
S01009009,Queensferry West - 01,City of Edinburgh
S01009010,Queensferry West - 02,City of Edinburgh
S01009011,Queensferry West - 03,City of Edinburgh
S01009012,Queensferry West - 04,City of Edinburgh
S01009013,Queensferry West - 05,City of Edinburgh
